tweet,labels
"@detikcom Keliatan media² besar selalu membangun narasi yang bias, berpihak ke agresor. Udah jelas nyuri, bahkan sering yg menunjukkan ketidakberdayaan. Tapi yg tega adalah yg ngejebak. Rotten to the core",0
"@detikcom Cepet amat putusinnya, kalo pejabat kok bisa sampe berbulan2 belom kelar 🤔🤔",0
@detikcom Orang paling waras kalau berada di antara orang-orang gila pun akan dianggap gangguan jiwa.,0
"@detikcom Rumah sakit tidak boleh diserang sekalipun perang. Ini aparat yang keterlaluan. Sangsi yang tepat adalah disamping pidana dengan hukuman maksimal ,  tentu apakah masih layak sebagai aparat penegak hukum ?",0
"@detikcom Kok bisa2 ny ada kepikiran buat pasang2 kek gini? tau ngk sih dampak ny bukan cuma ngk ngadain konser di indo lgi, tpi bakal ngerusak hubungan baik indo korea loh. Org korea kgk terima lah mereka dtg baik2 ke indo tpi disambut pake kek gini. Sakit jiwa tu orangg",0
"@detikcom Urusan Bokep CEPET, sekalian aja rekontruksi !!!!
Urusan GAS AIR MATA KADALUWARSA,, ruwet",0
@detikcom emg di hotel ngpain kok ditangkep?,0
"@detikcom Karena dgn TV analog, MNC group bisa klaim penonton dia menggunakan basis jumlah penduduk yg pasang antena. Kalau sudah digital, maka penontonnya bisa jadi makin sedikit. Bisa di trace jmlh penonton dan spesifik ntn televisi mana. Ujung2nya harga advertising turun haha",0
"@detikcom Ahahaha hebat sekali, bisa tau akan datang covid lagi 2 bulan lagi",0
"@detikcom Lha..

Orang Hijrah dicab Wahabi segala. 
Gimana sih pak.

Mereka hijrah bukan ke Israel seperti anda.
Heran... Orang ber islam berhijrah pake dikomen macem-macem.

Mending anda yang mundur dari PBNU.",0
"@detikcom Melihat fenomena rakyatnya yg culas gini tapi berharap korupsi lenyap di Indonesia?
NGIMPI.
Banyak orang yg licik udah dari sononya.
Mereka gak korupsi murni gak ada kesempatan aja.",0
"@detikcom Alhamdulillah.

Ada juga yang Berani nangkap dia.

Tuhan. Jangan Bebaskan dia. 

Taro aja di dalam Penjara sampai Bumi berakhir. 
Aamin 🤲",0
"@detikcom Kalo ada yang jauh, ngapain peduli sama yang dekat. 
Kanjuruhan masih Malang.",0
"@detikcom buset, kucing gue aja kalo berak nyari kotak pasir dulu. kotak pasir lagi dicuci, dia gelisah mondar-mandir. harus buru-buru isi pasir lagi baru dia mau pup. pinteran kucing gue.",0
@detikcom Keluarga toxic,0
"@detikcom Efek fitnah seorang PC ini terlalu parah:

1. Bikin nyawa seorang bawahan suaminya melayang sia-sia.
2. Karier suaminya hancur; dari seorang jenderal disegani jadi pembunuh hina. 
3. Karier sederet polisi lainnya ikut hancur.
4. Kehormatan kepolisian turut dirusak olehnya.",0
"@tvOneNews Yang lebih mengejutkan aku, harga gas yang tadinya 205.000 naik jadi 230.000. Duitku kurang 16.000. Berhutanglah aku sama tukang gas. Persetanlah Sambo Kuat dan Tuan Putri. Mampus-mampuslah kalian semua!",0
"@tvOneNews Ngeriknya, orang ini MIMPIN BANYAK anak buah dan satuan tugas. Kebayang gag mental anak buah2 nya dengan didikan psikopat kayak gini hiiiiii akan jadi the next sambo semua kelak 😭😭😭😭",0
@tvOneNews Alhamdulillah sdh terwakil kan. Kok gw bahagia bgt liat ada org yg digebukin,0
@tvOneNews Hasto mungkin bisa jawab : Knp banyak koruptor dari PDIP ?? 🤔,0
@tvOneNews Ok... Kalau berani @psi_id bawa ini kejalur hukum biar jelas apakah benar ini yang nyuruh @aniesbaswedan biar tidak ada fitnah... Ini yang benarkan @ListyoSigitP @DivHumas_Polri @CCICPolri @mohmahfudmd @temponewsroom @OfficialiNewsTV ...,0
"@tvOneNews polisi ksh contoh aja dulu.
Kalo ada preman, polisi jgn ada yg kejar mereka.
Kalo ada yg serang polisi, polisi jgn melawan ato membalas. Apalagi nembak. 
Polisi jg perlu bikin video simulasi bagaimana caranya mengatasi preman yg nyerang kita tnp kita kejar atau balas mereka.",0
"@tvOneNews Bila ngaku orang Sunda jangan pilih PDIP,
Tidak terkendali meskipun org Sunda anggota PDI-P jangan dipilih tenggelam kan PDI-P.",0
@tvOneNews Naon deui atuh... Pan bahasa inggrisna oge balelol,0
@tvOneNews Terima Kasih Jokowi telah mengurangi pendapatan rakyat 20-30%,0
"@tvOneNews Masalahnya sama lu apaan? Dia kritik polisi, knpa lu yg kyk cacing kepanasan.",0
"@tvOneNews Wow amazing, pasti di bandung minyak goreng banyak dan harganya murah,",0
@tvOneNews Salah itu judul beritanya..dia bukan oknum. Tapi polisi yg sebenarnya,0
"@tvOneNews Ya uda jadikan aja :) Airlangga - Puan 😅
Dah bosen sama drama2 test the water yg ga innovative dr politisi indo",0
@tvOneNews Turun jabatan? 😁,0
@tvOneNews Nirempati...saat rakyatnya yg hanya berjarak 102km dari jakarta ada yg masih kelaparan akibat bencana alam...ini malah kumpul2 kelompoknya sendiri padahal dia lagi menjadi presiden...pamer kekuatan.... buat apa ?? Padahal semua nya hanya akan berakhir di batu nisan,0
"@tvOneNews Assallammualaikhum wrb..
Sadis benar ini..
Mana KOMNAS HAM..lihat tuh pelanggaran hak hidup.
Oooh iya lupa KOMNAS HAM lagi sibuk ngurus orang kaya..jadi lupa aku..
# Lupa atas tugas sebenarnya.",0
"@tvOneNews Coba Test : POLLING 
.
Tingkat Kepuasan Masyarakat Atas Kinerja Presiden Jokowi",0
@tvOneNews Tukang Ngibul dikasih Panggung. Ustadz Ulama kalian usir.,0
"@tvOneNews Kalian terlalu berharap lebih dari seorng Pejabat yg mantan jendral polisi untuk mundur,..mereka tdk pernah di ajarkan moral untuk mundur dr jabatan selama kesempatan untuk menyalahkan pihak lain masih bisa di lakukan,..itukan yg selama ini di perlihatkan langsung olh mereka",0
"@tvOneNews Di bawah Rezim ini, Pikiran Rakyat kembali mundur Ke Jaman Batu. Rakyat dianggap Bodoh.",0
@tvOneNews Ngancam2 gini emang boleh ya pak @ListyoSigitP ? :):) nanya doang,0
@tvOneNews Lonte untuk apa dilayani kemaluaannya saja diecer,0
"@tvOneNews Wah si Denny siregar, Eko Kuntadhi, Ade Armando Cs masuk nih. Lawan dan basmi saja.",0
"@tvOneNews kacau banget, kredibilitas negara diobok2 kayak gini. Tidak adakah cyber scurity team di pemerintahan yang mumpuni",0
@tvOneNews Ti ati jangan ASAL BUNYI kek kasus SAMBO kemaren,0
@tvOneNews Tvone narasi lu.. kontol !!!,0
"@VIVAcoid Woiiiii...Kami berdarah-darah taruhan harta dan nyawa dukung ketum kamu, ternyata dia tikung kami..!!!",0
@VIVAcoid versi on the spot,0
@VIVAcoid Gampang bgt ya gedung instansi kebakaran. Warung madura yg jualan bensin sambil ngerokok jarang ada yg kebaran kayanya🤣,0
"@VIVAcoid Yg ribet itu kan lu dan keluarga lu, mulai dari lamaran sampai mau cerai lu publis di media, saat banyak orang yg komen tentang hidup lu terus lu marah 🤦

Heiiiiiiiii coba lah tiru mereka"" yg luput dari media, mereka lebih tenang, rumah tangga mereka lebih damai",0
@VIVAcoid Wah klo bener. Bs difilmkan. Film psikopat.,0
@VIVAcoid Loh kan sekarang PKB bagian dari koalisi pemerintah. Kenapa ga sekarang aja? minimal BBM aja deh turun ga usah muluk2,0
@VIVAcoid tolol,0
@VIVAcoid kalo smackdown bkn leslar dong tp lesnar,0
@VIVAcoid Mana antreannya? Kayak antrean ngelamar kerjaan di indonesia gag panjangnya 🤣,0
"@VIVAcoid Ketakutan yg dilandasi : Takut kehilangan  jabatan, tak kehilangan kekuasan, Takut kebusukan  terbongkar..",0
"@VIVAcoid Gak ada di lokasi, hanya info dari ss... 
Terus lempar tuduhan. 
Jangan marah klo dibilang TOLOL. 

*tapi wajar jg, setan ibukota",0
"@VIVAcoid OJK - investasi bodong : bukan tanggung jawab kami
PSSI - Kanjuruhan : bukan tanggung jawab kami
BPOM - Etilen Glikol : bukan tanggung jawab kami

Ada yg bisa menambahkan?",0
@VIVAcoid Kata mas @Giring_Ganesha gak punya empati secara Indonesia lg berduka loh udah copras capres aja,0
"@VIVAcoid 10 tahun kalah dari SBY bilangnya SBY ga bisa kerja, 5 tahun kalah dari Anies juga bilangnya anies ga bisa kerja... sekalinya menang banyak kepala daerah, menteri dan legislatif² berasal dari PDIP yg terpilih malah korupsi",0
"@VIVAcoid Betul apa kata pak Presiden. Jangan sembarangan dan jangan coba-coba pilih pemimpin, bahaya! Salah pilih pemimpin, bisa-bisa apa-apa impor dan dolar tidak bisa dikendalikan.",0
"@VIVAcoid Minimal udah deklarasi 😅
Yg lain deklarasi aja belum udah kemana mana wkwkwkwk",0
@VIVAcoid Sekolah bisnis paling top emang bukan BINUS. Tapi Akpol 👀,0
"@VIVAcoid @timperumus Halah,dulu gerombolan situ sampai nangis2. Katanya membela wong cilik. Sekarang ngomong asal mangap😏",0
"@VIVAcoid Semprot diri sendiri pak..nyesel sy pilih sampean. Periode pertama msh ok, yg ke 2 bener jengkelin.",0
@VIVAcoid Kapan kejar 11 ribu triliun yg disimpen diluar negri itu,0
@VIVAcoid Hahaha... Udah dikasih cara yang modern pakai JAKI malah balik lagi cara kuno. Susah kalau kebanyakan hidup di gorong-gorong,0
"@VIVAcoid Celeng suka bilang rakyat yg mana puas???

Klo rakyat puas ya gk bakalan ada demo melulu,gak ada gugatan ke jkw

Lagian gak ada gunanya survei,wong mau lengser juga,ribet amat hidup lo",0
@VIVAcoid Polisi India gaezz. Nalar warga India sedang dihina kepolisiannya dengan alasan konyol dan tolol. Persis seperti kepolisian di suatu negara yg pernah menghina nalar warganya dgn mengatakan sebuah gedung terbakar krn putung rokok.,0
"@VIVAcoid Siapapun adanya Bjorka, lanjutkeun... Dan bongkar semua pengkhianat"" bangsa itu 👍👍",0
"@VIVAcoid Saya Nasrani dan Saya Setuju

Maksudnya Daniel itu simpel, ga perlu dibikin ribut.

Yang disembah Nasrani itu Tuhan-nya, bukan patung-nya. Kegiatan menyembah patung berbentuk Yesus tidak sama dengan menyembah Yesus-nya. 

So he's not wrong.",0
"@VIVAcoid Ada yang lebih berbahaya dari NII :
1. Mafia Migor
2. Mafia PCR
3. Koruptor eKTP, Bansos, JiwaSraya, dll
4. Maling Dana Haji, dll
5. Importir TKA China
6. Sales Big Data
7. Tukang Hutang
8. Pasukan BuzzeRp
9. Tukang Ngibul

#DoctorStrange",0
"@CNNIndonesia Qul a'udzu bi robbil falaq
Min syarri ma kholaq

Katakan bahwa aku berlindung kepada Rabb yang mengatur Waktu Subuh
Dari keburukan mahluk (virus Corona)",0
"@CNNIndonesia Ya Allah, makanya lu pada pemerintah goblok klo beli gabah dari petani jgn murah"", lu kira biaya dari bibit sampe panen murah hah, giliran petani beras beralih ke lain, lu seenaknya impor, gue bunuh lu",0
@CNNIndonesia Hallah..nhomong aja pinter loe!!..dl jd Gub..yg cuman seumur jagung yg kmudian jd nyapres jd presiden..bs selesaikan banjir?.plus penggantinya..apa bs?..ada tanggung jawabnya?..soal esemka aja ngak jlas🤣,0
"@CNNIndonesia Pungli itu bukan barang tercecer, yang ketika tempat yang diduga menjadi lokasi tercecernya barang didatangi, langsung terlihat barangnya. Emang pungli itu diarsipkan? Aneh saja, begitu cepat membuat kesimpulan.",0
"@CNNIndonesia Someone pls educate me :”
Indo itu sebenarnya banyak kan localp*rn nya tapi kenapa yg viral ini yang dipenjara. Yang lain gimana? Apa harus viral dulu/artis yg buat baru dipenjara? 
Hukumnya gimana si?",0
"@CNNIndonesia Ustadz yusuf mansur : 4,5 Triliun ma kecil.

Kencengin sedekah",0
@CNNIndonesia knp melirik kanan smua,0
@CNNIndonesia yaaaa... mulai saling lempar tanggung jawab dan mulai opini cuci tangan...,0
"@CNNIndonesia negara lain itu kepala negara pusing mikirin rakyat agar sejahtera saat resesi ekonomi global, kalo disini rakyatnya yg mikirin pemerintah jadi ya wajar kepala negara nggak pusing kayak negara lain 😑",0
"@CNNIndonesia Lo kan pernah ngebacot Hok @basuki_btp ""merem aja pertamina akan untung"" ...
Taik taik taik",0
"@CNNIndonesia Hanya di era jokowi orang mau diperiksa Nawar,mereka tidak menghormati proses Hukum!
Sebelum ini Koruptor asal Papua juga nawar mau diperiksa KPK.",0
"@CNNIndonesia Di acr KTT G20 ngomong kita akan menghadapi krisi pangan kdepannya ee subsidi pupuk buat petani di pangkas nyaris hbs dam susah d dapat..
Knapa ga fokus untuk hadapi krisis pangam dgn subsidi d bidang pertanian d tingkatkam bukan subsidi motor benar2 sdh hilang akan waras kalian?",0
"@CNNIndonesia Berarti Jin tomang nya Harus di bawa ke Kantor polisi Sebagai Tersangka. Emang kadang kadang tu Jin Tomang,
Kenapa Harus Jin tomang kenapa Gak Jin Manggarai atau Tebet ya.",0
"@CNNIndonesia Bagi Polisi zaman Now, apapun bisa dijadikan dalih. Membunuh 6 orang aja bisa menjadi benar dengan dalih menjalankan tugas.",0
@CNNIndonesia Hahaha bajingan negara kalah sama mafia. Kalian2 orang ga berguna digaji mahal punya otoritas ga mampu beresin? Asu asu wkwk,0
"@CNNIndonesia Judul beritanua agak ngaco ini. Soal bupati sebut ancam ngkat senjata. Lengkapnya, bupati tanya ''apa rakyat meranti perlu angkat senjata?'' Dia jawab sendiri, ''Kan ngga mungkin.''  @CNNIndonesia Hati hati kalau menginterpretasikan omongan orang. Ini masalah riskan.",0
@CNNIndonesia Pura - pura kaget... kenaikan migor bahkan sudah menjadi kontroversi dan isu nasional...jelas munafik!,0
"@CNNIndonesia Dipenjara masih bisa ketemu anak
Orang tua Yosua ga bisa lagi ketemu anaknya",0
"@CNNIndonesia Pesen lagi aja, tapi ga pake ibu jari gitu.",0
@CNNIndonesia Jadi isu kebocoran data gegara ulah Bjorka selamaini cuma prank bwat keluarin anggaran BSSN?? jadi database kita selamaini ternyata aman2 aja gitu? nggada yg ngehack? 🤔🤔🤔,0
"@CNNIndonesia ka langganan abi ngan 15 ribu a, tukang cukurna di impor langsung ti rio de garutio",0
@CNNIndonesia Tukang Survei Bayaran lagi ngamuk -ngamuk karena Tukang Survei Bayaran ini tahu Kalau Anies yg bakalan Menang Pilpres,0
@CNNIndonesia No Action Talk Only (NATO),0
@CNNIndonesia Ketua PSSI nya juga dong,0
"@CNNIndonesia Suaranya mirip “wanita emas” yg tempo hari teriak2 pas ditahan wkwkwk barusan liat di youtube 
Siapaaa siapaa siapaaa gitu 🤣🤣🤣",0
"@CNNIndonesia Kalau mesin keretanya dari Jerman mungkin 38 tahun masih berbentuk keretanya walaupun sudah boros pemeliharaan, kalau mesin kereta dari China, saya pastikan amsyoooong, sudah jadi rongsokan",0
"@CNNIndonesia Kemarin berobat di puskesmas pake bpjs, bayangin cuman dilayani oleh perawat, yang buat dosis obat perawat udah gitu pelayanannya kasar lagi",0
@CNNIndonesia Ya udah kenapa ga jual gorengan aja ? 😂😂😂,0
@CNNIndonesia Di kepemimpinan  bapak Korupsi menggila  Dan  institusi  Hukum aburadul,0
"@CNNIndonesia Gpp pak STY mundur aja, entah bagai mana menyebutnya, tapi kecintaan kepada sepak bola tidak seharusnya menutup mata.. PSSI telah menunjukan sikap tidak bertanggung jawab, 131 nyawa loh 😭",0
"@CNNIndonesia Jokowi juga bilang gitu kerja kerja kerja,tau2 utang banyak.

Kerja,kerja,kerja bikin bandara,taunya bikin bandara hantu buat dedemit.😛

Kerja,kerja,kerja duit utangan renternir buat tol setelah jadi di jual.🤭

Kerja,kerja,kerja hasilnya RI jadi 100 negara termiskin di dunia.",0
"@CNNIndonesia Dl ada yg blg pertamina merem aja untung. Stlh pertamina rugi padahal bbm naik saat minyak dunia trn dia nyalahin org. Udah ga pinter ngomong, ga guna pula",0
"@CNNIndonesia Rasanya tidak mungkin juga pak, beda alam, beda generasi juga

Kurang pas pak. Nanti elektabilitas Anies malah anjlok   🙏🏼🙏🏼🙏🏼

.",0
@CNNIndonesia Intervensi? 🤔,0
"@CNNIndonesia Min judulnya bisa diganti jadi ini gak ? 👇

Jokowi Perintahkan Heru Budi Bereskan Banjir dan Macet Jakarta yang tak mampu dilakukannya 🤭",0
@CNNIndonesia Kgaa usah dateng. Lagian lu dateng juga kgaa da manfaatnye. Udaah mewek aja lau dipojok kamar ajja. Palestina aja bertaun2 dijajah israel ajja kga cengeng macem lau blao!,0
"@CNNIndonesia Wajar dong gugur, kan miskin dan ga punya orang dalem.
Lagipula, harusnya anda bersyukur gugur jd polisi, polisi itu aib.",0
"@CNNIndonesia Sopir yg sekarang ugal²an pak, nyopir tanpa perhitungan, bawa muatan melebihi kapasitas, bikin jalan cepat hancur. Prinsip sopir ini sing penting ""kerja kerja kerja"". 
Kata Buya Hamka ; ""Kalau bekerja sekadar bekerja, kera juga bekerja.""",0
"@CNNIndonesia Tetap aja rame peminatnya,karena harga tiket jauh lebih rendah dibanding maskapai plat merah yang harga mahal tapi heran rugi terus",0
"@CNNIndonesia Selagi pengguna BPJS bayar rutin tiap bulan sih ga masalah , itu kan haknya... ko malah membebani... mening audit BPJSnya biar ketauan yang membebani pelanggannya atau PEJABATNYA",0
@CNNIndonesia Pemilih prabowo pilih pak @aniesbaswedan buat 2024😀😁,0
@CNNIndonesia gimana ya rasanya scroll twitter pake iphone 13 Pro Max hasil ngebunuh orang?,0
"@CNNIndonesia Investor yang mengambil semuanya : keuntungan bisnis utama, pemasok barang modal, pemasok tenaga kerja dari level manajerial sampai level OB, dan keringanan pajak. Indonesia kebagian apa?",0
"@CNNIndonesia Yg di daerah konflik mikirin gmn konflik bisa berakhir tanpa korban

Yg di kota mikir dana hibah kok dapetnya dikit

😂😂😂😂",0
"@CNNIndonesia aku rajin minum susu, ga suka minum kopi. tp payudara aku kok segini-gini aja? siapa yg slh?",0
"@CNNIndonesia Cara paling ampuh utk lari dr ketidak becusan ngurus negara sekaligus dpt duit, ya Covad Covid lg deh..🙄",0
"@CNNIndonesia Bagus👍tapi akan lebih bagus lagi ciptakan Quran sendiri, Hadist sendiri, jangan ada satu pun kata Kafir. Bikin Ka’bah sendiri. Padan Arafah sendiri. Mungkin banyak yang akan menjadi jamaahnya. Dari pada jauh2 ke Mekah dengan biaya mahal.",0
"@CNNIndonesia Yg rusuh di lapangan,yg di brondong tembakan gas beracun penonton ditribun...pea lu...!",0
"@CNNIndonesia Ampe kebebasan manusia juga di atur ama moncong putih , bener2 udah gaya komunis dipakai.",0
"@CNNIndonesia 😂😂
Terus kalau hujan lebatnya pas mau pulang kantor.. diserukan tidur dikantor?",0
"@CNNIndonesia Halah, kaga bakal ditahan orang kaya mah. Tarohan brani gw 
Udah paling bener mah hukuman sanksi sosial",0
"@CNNIndonesia @DivHumas_Polri tangkep pak mereka. Mereka udah menghina polisi secara langsung. Masa iya yg begini ga ditangkep. 

Atau @PSSI ga mau nyoba denda fans bayern?",0
"@CNNIndonesia 36 laga Argentina (status Juara CONMEBOL) tak pernah kalah berhasil dipatahkan oleh Saudi Arabia, gimana gak bangga.",0
@detikcom Keren nih cucu bung Hatta selangkah lebih maju dr Si Cucu temennya bung hatta,0
"@detikcom Kemaren2 bilang lebih pilih masuk neraka supaya bisa party sama Michael Jackson, sekarang masuk penjara aja udah mewek2 terus langsung inget Tuhan. 
Ente kadang kadang ente 🤭🤭🤭",0
@detikcom Orang normal ikutan jadi abnormal gegara pada normalin homoseglesbi yang sudah jelas anomali.,0
"@detikcom @detik_jatim Confirm anak buah @ListyoSigitP memang pakar bokep. Ngurusin bokep sehari selesai, ngurusin kriminal sampai korbanya lupa ga selesai2",0
"@detikcom Hahaha LUCU sekali polisiku ini...
Coba2... Yg dr organisasi mayoritas dicopot dg penuh kebencian seperti itu....
Ngomong apa bakalan mereka?
Penistaan? Penghinaan? Kejahatan?
Penodaan? Intoleransi?

Jd polisi kok memble. Pengecut",0
"@detikcom Bagus ayo mbo sambo sekalian buka semua kasus :
-KM-50
-tragedi Mei 2019
-mafia tambang
-mafia narkoba
-mafia judi
-buku sampul merah KPK
-kebakaran Gd Jakgung

Gelar tikar lihat sinetron makin seruuu!!👏👏",0
"@detikcom Bisa jadi di kantor kita, tetangga kita, belasan tahun, mereka intel, BIN, mata-mata, spionase. Bisa jadi. Bisa jadi. Yuk mulai menerka, phobia, dan gila.",0
"@detikcom -benar ngefans ? bisa jadi !
-drama buatan lawan ? bisa jadi !
-drama pengalihan isu ? bisa jadi !
-memang pengen viral ? bisa jadi !

semuanya bisa jadi 😂😂",0
"@detikcom Jangan ribut2 gaes, ini produk dry shampoo yang ditarik itu ga dijual di indonesia. Produknya di US dan Kanada. Produk yg di indo aman.
Yuk jangan minim literasi 🥹",0
@detikcom padahal partai dia yg awal2 buat akun BuzzerJahat PKSPiyungan...,0
"@detikcom Buat rekan-rekan yg masih bs kerja walaupun gajinya hanya cukup untuk hidup sehari-hari, mari bersyukur karena masih punya pekerjaan.. Banyakin nabung dan belanja sesuai kebutuhan",0
"@detikcom Kemarin ditangkap minta maaf selesai, ya bakal berulah lagi begundal lainnya, gak ada sanksi tegas.",0
"@detikcom Yg beginian diurusin, di up media, apa ga ada kasus lain yg merugikan masyarakat byk yg bisa di up? Dasar meki-minded.",0
@detikcom dibayar sampai berapa sih mbak koq mau²nya ngedrama dipersidangan? 😃😄,0
"@detikcom Knp ga si said Iqbal,suruh bangun pabrik sendiri lalu pekerjakan orang dngn gaji yg di minta. Sad",0
"@detikcom Beras lokal mahal karna distribusi dari petani sampe ke pasar yg terlalu banyak pemain

Disamping itu biaya produksi juga cukup tinggi, proses produksi jg kurang efisien.",0
@detikcom Katanya siap ditembak ya #ehh,0
